claim_id,policy_id,line_of_business,industry_segment,state,loss_date,report_date,report_lag_days,cause_of_loss,claim_status,paid_loss,case_reserve,alae,incurred_loss,incurred_loss_alae
CLM-000050,POL-000353,BOP,Restaurants & Food Service,CA,2026-02-12,2026-03-20,36,Theft/Burglary,Open,716.29,2974.88,309.84,3691.17,4001.01
CLM-000051,POL-000358,BOP,Retail,TX,2025-08-11,2025-08-21,10,Fire,Closed,751.44,0.0,33.98,751.44,785.42
CLM-000052,POL-000366,BOP,Real Estate,GA,2024-01-16,2024-03-13,57,Theft/Burglary,Closed,3046.67,0.0,251.14,3046.67,3297.81
CLM-000053,POL-000369,BOP,Restaurants & Food Service,WA,2023-12-22,2024-02-21,61,Business Interruption,Closed,12215.29,0.0,1940.11,12215.29,14155.4
CLM-000054,POL-000372,BOP,Contractors,NY,2026-05-15,2026-05-26,11,Business Interruption,Open,1345.0,6856.2,1283.41,8201.2,9484.61
CLM-000055,POL-000379,Professional Liability,Professional Services,TX,2024-10-02,2025-02-24,145,Regulatory Proceeding,Open,72200.18,356873.27,74893.22,429073.45,503966.67
CLM-000056,POL-000381,BOP,Contractors,TX,2025-05-08,2025-05-13,5,Fire,Open,11820.64,16635.18,5077.56,28455.82,33533.38
CLM-000057,POL-000388,BOP,Real Estate,GA,2025-01-30,2025-02-26,27,Fire,Closed,13523.4,0.0,2212.43,13523.4,15735.83
CLM-000058,POL-000408,BOP,Technology,NC,2024-04-03,2024-04-09,6,Slip & Fall,Closed,4214.63,0.0,413.48,4214.63,4628.11
CLM-000059,POL-000411,General Liability,Technology,IL,2024-12-29,2025-06-01,154,Property Damage - 3rd Party,Closed,120578.04,0.0,17452.13,120578.04,138030.17
CLM-000060,POL-000415,General Liability,Contractors,FL,2024-09-17,2025-03-20,184,Property Damage - 3rd Party,Closed,209948.69,0.0,13453.01,209948.69,223401.7
CLM-000061,POL-000416,General Liability,Contractors,FL,2026-03-14,2026-04-09,26,Slip & Fall,Open,8347.58,17524.08,4815.81,25871.66,30687.47
CLM-000062,POL-000420,BOP,Professional Services,CA,2025-07-06,2025-09-13,69,Slip & Fall,Open,4106.82,67346.71,15489.22,71453.53,86942.75
CLM-000063,POL-000433,BOP,Restaurants & Food Service,NC,2025-05-10,2025-06-11,32,Fire,Closed,1084.93,0.0,212.98,1084.93,1297.91
CLM-000064,POL-000436,Professional Liability,Healthcare Services,CA,2025-09-07,2025-11-13,67,Failure to Deliver,Closed,149047.59,0.0,27604.36,149047.59,176651.95
CLM-000065,POL-000438,General Liability,Professional Services,OH,2026-01-19,2026-06-06,138,Slip & Fall,Closed,25997.21,0.0,1353.84,25997.21,27351.05
CLM-000066,POL-000446,General Liability,Contractors,AZ,2025-10-16,2026-02-03,110,Personal & Advertising Injury,Open,38841.66,46287.5,15761.66,85129.16,100890.82
CLM-000067,POL-000448,BOP,Retail,WA,2025-10-18,2025-12-08,51,Theft/Burglary,Open,2583.68,15650.89,2888.11,18234.57,21122.68
CLM-000068,POL-000450,General Liability,Light Manufacturing,TX,2026-01-12,2026-01-26,14,Property Damage - 3rd Party,Closed - No Pay,0.0,0.0,0.0,0.0,0.0
CLM-000069,POL-000455,BOP,Light Manufacturing,FL,2023-09-12,2023-10-05,23,Theft/Burglary,Closed,2468.97,0.0,229.62,2468.97,2698.59
CLM-000070,POL-000469,BOP,Retail,NC,2025-01-25,2025-02-16,22,Theft/Burglary,Closed,979.59,0.0,130.83,979.59,1110.42
CLM-000071,POL-000475,BOP,Contractors,FL,2023-07-30,2023-07-31,1,Wind/Hail,Open,3688.72,4066.99,1348.57,7755.71,9104.28
CLM-000072,POL-000476,BOP,Contractors,FL,2025-04-05,2025-04-22,17,Theft/Burglary,Closed,2368.66,0.0,468.61,2368.66,2837.27
CLM-000073,POL-000477,BOP,Contractors,FL,2025-09-08,2025-09-27,19,Business Interruption,Closed - No Pay,0.0,0.0,0.0,0.0,0.0
CLM-000074,POL-000481,BOP,Contractors,IL,2024-11-22,2024-12-04,12,Slip & Fall,Closed - No Pay,0.0,0.0,0.0,0.0,0.0
CLM-000075,POL-000482,BOP,Contractors,IL,2026-02-26,2026-03-10,12,Business Interruption,Open,3856.44,10042.75,1685.56,13899.19,15584.75
CLM-000076,POL-000483,BOP,Contractors,TX,2025-04-29,2025-05-23,24,Water Damage,Closed - No Pay,0.0,0.0,0.0,0.0,0.0
CLM-000077,POL-000498,BOP,Retail,NY,2025-07-15,2025-07-23,8,Wind/Hail,Closed,12766.24,0.0,2781.9,12766.24,15548.14
CLM-000078,POL-000499,BOP,Retail,NY,2026-03-07,2026-03-20,13,Slip & Fall,Open,725.14,3671.72,760.54,4396.86,5157.4
CLM-000079,POL-000501,General Liability,Restaurants & Food Service,TX,2025-11-01,2025-12-24,53,Personal & Advertising Injury,Open,5304.83,41258.72,6221.48,46563.55,52785.03
CLM-000080,POL-000507,BOP,Retail,NY,2025-07-27,2025-08-19,23,Theft/Burglary,Open,698.07,2631.84,722.17,3329.91,4052.08
CLM-000081,POL-000513,BOP,Retail,TX,2026-04-19,2026-05-30,41,Wind/Hail,Open,311.8,682.67,160.74,994.47,1155.21
CLM-000082,POL-000521,BOP,Retail,TX,2024-02-19,2024-03-08,18,Fire,Closed,16427.35,0.0,1631.27,16427.35,18058.62
CLM-000083,POL-000525,General Liability,Professional Services,CA,2025-06-29,2026-02-05,221,Completed Operations,Open,8789.4,9992.33,2983.81,18781.73,21765.54
CLM-000084,POL-000535,BOP,Retail,FL,2025-10-16,2025-11-22,37,Slip & Fall,Closed,11912.66,0.0,1501.02,11912.66,13413.68
CLM-000085,POL-000542,BOP,Restaurants & Food Service,IL,2026-05-15,2026-05-20,5,Fire,Open,876.04,1155.01,115.79,2031.05,2146.84
CLM-000086,POL-000544,BOP,Retail,FL,2023-05-06,2023-06-08,33,Business Interruption,Open,787.97,5399.02,1072.76,6186.99,7259.75
CLM-000087,POL-000556,General Liability,Contractors,NY,2024-08-09,2024-10-31,83,Products Liability,Closed,10463.55,0.0,1411.15,10463.55,11874.7
CLM-000088,POL-000559,General Liability,Retail,CA,2023-12-07,2024-04-19,134,Products Liability,Closed,161730.69,0.0,35328.49,161730.69,197059.18
CLM-000089,POL-000560,General Liability,Retail,CA,2025-02-13,2025-04-06,52,Completed Operations,Closed,2514.26,0.0,187.54,2514.26,2701.8
CLM-000090,POL-000563,BOP,Real Estate,OH,2023-10-18,2023-11-06,19,Slip & Fall,Closed,6331.41,0.0,1342.08,6331.41,7673.49
CLM-000091,POL-000570,General Liability,Restaurants & Food Service,IL,2025-06-29,2025-08-21,53,Completed Operations,Closed,7551.7,0.0,1082.98,7551.7,8634.68
CLM-000092,POL-000579,BOP,Retail,IL,2024-12-13,2024-12-14,1,Wind/Hail,Closed,4218.41,0.0,306.05,4218.41,4524.46
CLM-000093,POL-000589,General Liability,Contractors,IL,2026-02-14,2026-03-18,32,Completed Operations,Open,38782.65,62635.07,7059.04,101417.72,108476.76
CLM-000094,POL-000592,Professional Liability,Professional Services,WA,2025-08-06,2025-09-02,27,Failure to Deliver,Closed,94560.63,0.0,13164.02,94560.63,107724.65
CLM-000095,POL-000607,BOP,Healthcare Services,TX,2024-10-06,2024-10-11,5,Theft/Burglary,Open,2186.87,10108.72,2512.49,12295.59,14808.08
CLM-000096,POL-000617,BOP,Retail,NC,2025-12-15,2025-12-30,15,Fire,Open,476.36,1331.82,294.54,1808.18,2102.72
CLM-000097,POL-000628,BOP,Restaurants & Food Service,GA,2025-10-28,2026-03-07,130,Wind/Hail,Open,900.6,8973.91,1283.06,9874.51,11157.57
CLM-000098,POL-000633,General Liability,Contractors,NY,2024-07-10,2024-08-25,46,Personal & Advertising Injury,Closed,12327.45,0.0,1334.13,12327.45,13661.58
CLM-000099,POL-000642,BOP,Real Estate,FL,2025-10-22,2025-11-09,18,Fire,Open,1612.14,11825.83,821.39,13437.97,14259.36
CLM-000100,POL-000651,General Liability,Retail,IL,2025-12-17,2026-02-23,68,Slip & Fall,Closed,3614.22,0.0,327.89,3614.22,3942.11
CLM-000101,POL-000655,BOP,Light Manufacturing,CA,2025-02-11,2025-02-18,7,Water Damage,Open,2067.82,3188.19,502.93,5256.01,5758.94
CLM-000102,POL-000675,General Liability,Real Estate,OH,2024-02-07,2024-03-24,46,Personal & Advertising Injury,Closed,36716.86,0.0,5423.66,36716.86,42140.52
CLM-000103,POL-000686,General Liability,Contractors,TX,2025-03-13,2025-06-20,99,Personal & Advertising Injury,Open,3608.98,19720.61,3522.49,23329.59,26852.08
CLM-000104,POL-000689,General Liability,Real Estate,NY,2025-04-07,2025-04-10,3,Personal & Advertising Injury,Open,3521.73,3656.97,612.6,7178.7,7791.3
CLM-000105,POL-000700,BOP,Contractors,CA,2025-10-11,2025-10-20,9,Wind/Hail,Closed,15374.72,0.0,1040.09,15374.72,16414.81
CLM-000106,POL-000708,BOP,Restaurants & Food Service,WA,2024-01-10,2024-01-13,3,Water Damage,Closed,3410.84,0.0,374.27,3410.84,3785.11
CLM-000107,POL-000715,General Liability,Light Manufacturing,GA,2025-07-17,2025-08-07,21,Products Liability,Closed,6077.02,0.0,1266.07,6077.02,7343.09
CLM-000108,POL-000715,General Liability,Light Manufacturing,GA,2025-06-27,2025-08-06,40,Property Damage - 3rd Party,Open,3192.22,28718.58,1569.91,31910.8,33480.71
CLM-000109,POL-000729,BOP,Healthcare Services,FL,2025-04-05,2025-04-13,8,Slip & Fall,Closed,3338.17,0.0,535.97,3338.17,3874.14
CLM-000110,POL-000737,BOP,Real Estate,IL,2026-04-18,2026-04-19,1,Water Damage,Open,4752.66,59739.26,8657.59,64491.92,73149.51
CLM-000111,POL-000749,General Liability,Professional Services,TX,2024-07-26,2024-08-16,21,Products Liability,Open,74842.31,107327.03,17223.31,182169.34,199392.65
CLM-000112,POL-000760,General Liability,Restaurants & Food Service,CA,2026-01-13,2026-03-21,67,Slip & Fall,Open,39466.97,58307.91,7729.55,97774.88,105504.43
CLM-000113,POL-000761,BOP,Retail,NC,2023-08-29,2023-09-19,21,Business Interruption,Closed,34157.34,0.0,5495.36,34157.34,39652.7
CLM-000114,POL-000763,BOP,Retail,NC,2025-07-14,2025-08-07,24,Business Interruption,Closed,21692.37,0.0,907.89,21692.37,22600.26
CLM-000115,POL-000766,General Liability,Contractors,IL,2025-08-30,2025-09-16,17,Property Damage - 3rd Party,Open,3555.3,60521.34,12020.44,64076.64,76097.08
CLM-000116,POL-000802,BOP,Real Estate,NC,2025-04-08,2025-04-10,2,Slip & Fall,Closed,4822.37,0.0,868.9,4822.37,5691.27
CLM-000117,POL-000807,Professional Liability,Healthcare Services,OH,2025-05-23,2026-01-16,238,Negligent Act,Closed,26907.18,0.0,1666.69,26907.18,28573.87
CLM-000118,POL-000811,BOP,Retail,OH,2024-08-21,2024-08-26,5,Fire,Closed,6265.03,0.0,673.66,6265.03,6938.69
CLM-000119,POL-000812,BOP,Retail,OH,2024-12-25,2025-01-16,22,Fire,Open,4864.76,7527.58,709.18,12392.34,13101.52
CLM-000120,POL-000817,BOP,Restaurants & Food Service,GA,2024-06-03,2024-06-15,12,Slip & Fall,Closed,2604.09,0.0,104.47,2604.09,2708.56
CLM-000121,POL-000817,BOP,Restaurants & Food Service,GA,2024-10-09,2024-10-13,4,Wind/Hail,Closed,12051.35,0.0,649.16,12051.35,12700.51
CLM-000122,POL-000819,BOP,Restaurants & Food Service,GA,2026-01-26,2026-02-10,15,Business Interruption,Closed - No Pay,0.0,0.0,0.0,0.0,0.0
CLM-000123,POL-000830,BOP,Restaurants & Food Service,CA,2026-01-17,2026-02-20,34,Wind/Hail,Open,906.8,2236.03,152.46,3142.83,3295.29
CLM-000124,POL-000850,General Liability,Contractors,AZ,2025-02-01,2025-02-27,26,Property Damage - 3rd Party,Open,7634.54,42175.87,8837.93,49810.41,58648.34
CLM-000125,POL-000852,General Liability,Restaurants & Food Service,TX,2024-02-13,2024-10-28,258,Slip & Fall,Open,13075.48,27583.39,2911.86,40658.87,43570.73
CLM-000126,POL-000864,BOP,Contractors,IL,2025-05-03,2025-05-28,25,Water Damage,Closed,9683.76,0.0,1660.75,9683.76,11344.51
CLM-000127,POL-000874,BOP,Restaurants & Food Service,FL,2024-10-07,2024-10-12,5,Business Interruption,Closed,54406.57,0.0,3158.67,54406.57,57565.24
CLM-000128,POL-000889,General Liability,Retail,GA,2025-04-16,2025-10-01,168,Products Liability,Closed,5571.98,0.0,1181.66,5571.98,6753.64
CLM-000129,POL-000891,Professional Liability,Professional Services,NC,2025-01-25,2025-09-25,243,Regulatory Proceeding,Closed,80385.34,0.0,5721.1,80385.34,86106.44
CLM-000130,POL-000895,BOP,Healthcare Services,FL,2025-10-10,2025-11-03,24,Theft/Burglary,Closed,8198.21,0.0,979.22,8198.21,9177.43
CLM-000131,POL-000895,BOP,Healthcare Services,FL,2026-01-19,2026-02-11,23,Wind/Hail,Closed,35865.94,0.0,5614.14,35865.94,41480.08
CLM-000132,POL-000895,BOP,Healthcare Services,FL,2025-09-17,2025-10-04,17,Wind/Hail,Closed,12411.22,0.0,1461.08,12411.22,13872.3
CLM-000133,POL-000897,BOP,Retail,WA,2026-03-09,2026-04-02,24,Business Interruption,Closed,5165.96,0.0,1131.16,5165.96,6297.12
CLM-000134,POL-000902,BOP,Restaurants & Food Service,IL,2023-09-01,2023-11-04,64,Business Interruption,Closed,1460.11,0.0,216.72,1460.11,1676.83
CLM-000135,POL-000908,BOP,Contractors,IL,2026-02-23,2026-05-27,93,Water Damage,Open,14858.47,17082.14,4361.36,31940.61,36301.97
CLM-000136,POL-000921,BOP,Real Estate,WA,2026-01-21,2026-03-08,46,Water Damage,Open,135.61,499.04,65.48,634.65,700.13
CLM-000137,POL-000923,General Liability,Light Manufacturing,TX,2024-07-31,2024-11-07,99,Completed Operations,Closed,45302.89,0.0,4523.11,45302.89,49826.0
CLM-000138,POL-000928,BOP,Retail,CA,2026-02-19,2026-04-27,67,Fire,Open,734.29,1027.86,344.6,1762.15,2106.75
CLM-000139,POL-000946,BOP,Real Estate,NY,2025-01-20,2025-03-26,65,Wind/Hail,Closed - No Pay,0.0,0.0,0.0,0.0,0.0
CLM-000140,POL-000948,General Liability,Contractors,GA,2025-12-11,2025-12-17,6,Completed Operations,Open,2828.13,19599.32,3357.88,22427.45,25785.33
CLM-000141,POL-000953,BOP,Retail,TX,2025-05-01,2025-05-15,14,Theft/Burglary,Closed,3660.58,0.0,605.23,3660.58,4265.81
CLM-000142,POL-000975,General Liability,Light Manufacturing,CA,2023-07-16,2023-09-17,63,Completed Operations,Closed,42321.91,0.0,2893.73,42321.91,45215.64
CLM-000143,POL-000976,General Liability,Light Manufacturing,CA,2024-05-19,2024-06-11,23,Completed Operations,Closed,46149.36,0.0,6489.08,46149.36,52638.44
CLM-000144,POL-000981,BOP,Restaurants & Food Service,NY,2023-12-13,2023-12-14,1,Business Interruption,Closed,2346.55,0.0,378.9,2346.55,2725.45
CLM-000145,POL-000982,BOP,Light Manufacturing,IL,2025-03-22,2025-04-16,25,Water Damage,Open,7222.59,9575.85,1340.66,16798.44,18139.1
CLM-000146,POL-000999,BOP,Real Estate,TX,2025-07-11,2025-07-12,1,Business Interruption,Closed,41246.65,0.0,8810.47,41246.65,50057.12
CLM-000147,POL-000999,BOP,Real Estate,TX,2025-04-12,2025-05-28,46,Fire,Closed,4221.77,0.0,623.72,4221.77,4845.49
CLM-000148,POL-001001,BOP,Retail,CA,2023-08-23,2023-10-24,62,Water Damage,Closed,12697.53,0.0,2279.44,12697.53,14976.97
CLM-000149,POL-001006,BOP,Restaurants & Food Service,IL,2024-08-08,2024-08-15,7,Theft/Burglary,Closed,3065.99,0.0,292.52,3065.99,3358.51
CLM-000150,POL-001012,BOP,Real Estate,FL,2025-09-25,2025-10-16,21,Fire,Closed,1467.56,0.0,88.35,1467.56,1555.91
CLM-000151,POL-001024,BOP,Restaurants & Food Service,FL,2024-04-01,2024-05-10,39,Business Interruption,Closed,1863.71,0.0,335.73,1863.71,2199.44
CLM-000152,POL-001026,BOP,Restaurants & Food Service,FL,2025-12-06,2025-12-16,10,Fire,Closed,7324.62,0.0,1300.84,7324.62,8625.46
CLM-000153,POL-001037,BOP,Real Estate,TX,2024-03-03,2024-03-07,4,Wind/Hail,Open,1976.15,3327.44,1111.63,5303.59,6415.22
CLM-000154,POL-001037,BOP,Real Estate,TX,2024-07-03,2024-07-19,16,Theft/Burglary,Open,1058.01,1597.97,483.79,2655.98,3139.77
CLM-000155,POL-001046,General Liability,Restaurants & Food Service,TX,2024-01-18,2024-01-31,13,Products Liability,Closed,16016.96,0.0,3464.29,16016.96,19481.25
CLM-000156,POL-001060,BOP,Real Estate,TX,2025-08-23,2025-08-25,2,Water Damage,Closed,41220.77,0.0,6632.31,41220.77,47853.08
CLM-000157,POL-001064,BOP,Real Estate,NC,2024-08-20,2024-08-23,3,Theft/Burglary,Closed,72587.46,0.0,11332.94,72587.46,83920.4
CLM-000158,POL-001076,General Liability,Technology,IL,2024-08-30,2024-10-16,47,Completed Operations,Open,7184.55,24223.57,2356.28,31408.12,33764.4
CLM-000159,POL-001077,General Liability,Technology,IL,2026-03-15,2026-04-26,42,Products Liability,Open,6454.95,43893.75,2074.39,50348.7,52423.09
CLM-000160,POL-001085,BOP,Technology,GA,2025-05-16,2025-05-25,9,Water Damage,Open,988.09,5592.9,1114.86,6580.99,7695.85
CLM-000161,POL-001090,BOP,Restaurants & Food Service,FL,2025-11-22,2026-01-03,42,Wind/Hail,Open,3605.46,13223.32,2237.16,16828.78,19065.94
CLM-000162,POL-001093,General Liability,Retail,WA,2024-08-15,2024-09-11,27,Slip & Fall,Closed,13000.28,0.0,1392.71,13000.28,14392.99
CLM-000163,POL-001100,General Liability,Restaurants & Food Service,OH,2024-10-05,2024-12-04,60,Slip & Fall,Closed,622.98,0.0,133.86,622.98,756.84
CLM-000164,POL-001105,Professional Liability,Healthcare Services,GA,2023-04-01,2023-06-30,90,Breach of Duty,Closed,86073.93,0.0,18570.09,86073.93,104644.02
CLM-000165,POL-001121,General Liability,Light Manufacturing,CA,2024-11-11,2025-02-13,94,Completed Operations,Closed,18833.8,0.0,2253.24,18833.8,21087.04
CLM-000166,POL-001122,General Liability,Restaurants & Food Service,TX,2024-12-29,2025-02-06,39,Property Damage - 3rd Party,Open,31017.86,42384.6,12649.71,73402.46,86052.17
CLM-000167,POL-001129,Professional Liability,Professional Services,TX,2025-09-25,2025-12-21,87,Negligent Act,Open,3013.5,26652.82,2976.34,29666.32,32642.66
CLM-000168,POL-001131,BOP,Restaurants & Food Service,FL,2024-12-03,2024-12-04,1,Wind/Hail,Closed,11061.56,0.0,1350.86,11061.56,12412.42
CLM-000169,POL-001134,BOP,Restaurants & Food Service,NC,2026-02-20,2026-03-19,27,Business Interruption,Open,1132.72,1242.85,275.22,2375.57,2650.79
CLM-000170,POL-001141,General Liability,Technology,CA,2024-01-22,2024-04-10,79,Slip & Fall,Open,9328.64,62833.11,15030.94,72161.75,87192.69
CLM-000171,POL-001147,General Liability,Contractors,NC,2024-03-20,2024-05-08,49,Slip & Fall,Open,30798.83,25662.46,3846.43,56461.29,60307.72
CLM-000172,POL-001148,General Liability,Contractors,NC,2024-09-29,2024-10-29,30,Completed Operations,Open,14005.48,13632.18,3463.57,27637.66,31101.23
CLM-000173,POL-001151,Professional Liability,Professional Services,OH,2025-01-27,2025-03-21,53,Negligent Act,Open,7656.26,6383.15,1844.97,14039.41,15884.38
CLM-000174,POL-001154,General Liability,Contractors,TX,2024-02-18,2024-04-08,50,Property Damage - 3rd Party,Closed,15772.58,0.0,2092.31,15772.58,17864.89
CLM-000175,POL-001159,General Liability,Contractors,CA,2026-03-04,2026-03-16,12,Personal & Advertising Injury,Open,1030.9,2621.6,624.96,3652.5,4277.46
