policy_id,account_id,line_of_business,industry_segment,state,producer_code,hazard_grade,term_number,new_or_renewal,effective_date,expiration_date,written_premium,rate_change_pct,earned_fraction,earned_premium,unearned_premium,earned_exposure
POL-000019,ACCT-00009,BOP,Healthcare Services,NY,AGY-031,2,1,New,2025-05-09,2026-05-09,8802.67,0.0,1.0,8802.67,0.0,1.0
POL-000020,ACCT-00009,BOP,Healthcare Services,NY,AGY-031,2,2,Renewal,2026-05-09,2027-05-09,8849.19,0.0053,0.1425,1260.71,7588.48,0.1425
POL-000021,ACCT-00010,BOP,Real Estate,FL,AGY-044,3,1,New,2023-06-26,2024-06-26,4833.1,0.0,1.0,4833.1,0.0,1.0
POL-000022,ACCT-00010,BOP,Real Estate,FL,AGY-044,3,2,Renewal,2024-06-26,2025-06-26,5243.54,0.0849,1.0,5243.54,0.0,1.0
POL-000023,ACCT-00010,BOP,Real Estate,FL,AGY-044,3,3,Renewal,2025-06-26,2026-06-26,5346.32,0.0196,1.0,5346.32,0.0,1.0
POL-000024,ACCT-00010,BOP,Real Estate,FL,AGY-044,3,4,Renewal,2026-06-26,2027-06-26,5045.65,-0.0562,0.011,55.29,4990.36,0.011
POL-000025,ACCT-00011,BOP,Light Manufacturing,NC,AGY-030,3,1,New,2025-02-05,2026-02-05,4873.29,0.0,1.0,4873.29,0.0,1.0
POL-000026,ACCT-00011,BOP,Light Manufacturing,NC,AGY-030,3,2,Renewal,2026-02-05,2027-02-05,5308.24,0.0893,0.3973,2108.75,3199.49,0.3973
POL-000027,ACCT-00012,BOP,Contractors,NC,AGY-008,3,1,New,2024-05-14,2025-05-14,2691.65,0.0,1.0,2691.65,0.0,1.0
POL-000028,ACCT-00012,BOP,Contractors,NC,AGY-008,3,2,Renewal,2025-05-14,2026-05-14,2797.57,0.0394,1.0,2797.57,0.0,1.0
POL-000029,ACCT-00013,General Liability,Technology,FL,AGY-019,2,1,New,2024-11-18,2025-11-18,45569.79,0.0,1.0,45569.79,0.0,1.0
POL-000030,ACCT-00013,General Liability,Technology,FL,AGY-019,2,2,Renewal,2025-11-18,2026-11-18,48110.61,0.0558,0.6137,29525.42,18585.19,0.6137
POL-000031,ACCT-00014,General Liability,Restaurants & Food Service,IL,AGY-041,2,1,New,2023-04-24,2024-04-24,4699.29,0.0,1.0,4699.29,0.0,1.0
POL-000032,ACCT-00015,General Liability,Restaurants & Food Service,NY,AGY-018,2,1,New,2023-01-25,2024-01-25,3857.36,0.0,1.0,3857.36,0.0,1.0
POL-000033,ACCT-00015,General Liability,Restaurants & Food Service,NY,AGY-018,2,2,Renewal,2024-01-25,2025-01-25,4340.63,0.1253,1.0,4340.63,0.0,1.0
POL-000034,ACCT-00015,General Liability,Restaurants & Food Service,NY,AGY-018,2,3,Renewal,2025-01-25,2026-01-25,5425.06,0.2498,1.0,5425.06,0.0,1.0
POL-000035,ACCT-00016,General Liability,Retail,TX,AGY-058,2,1,New,2023-12-30,2024-12-30,8579.89,0.0,1.0,8579.89,0.0,1.0
POL-000036,ACCT-00016,General Liability,Retail,TX,AGY-058,2,2,Renewal,2024-12-30,2025-12-30,9514.74,0.109,1.0,9514.74,0.0,1.0
POL-000037,ACCT-00017,BOP,Retail,IL,AGY-040,4,1,New,2025-01-06,2026-01-06,3961.08,0.0,1.0,3961.08,0.0,1.0
POL-000038,ACCT-00017,BOP,Retail,IL,AGY-040,4,2,Renewal,2026-01-06,2027-01-06,4372.89,0.104,0.4795,2096.59,2276.3,0.4795
POL-000039,ACCT-00018,BOP,Contractors,NY,AGY-033,4,1,New,2024-02-11,2025-02-11,4430.08,0.0,1.0,4430.08,0.0,1.0
POL-000040,ACCT-00018,BOP,Contractors,NY,AGY-033,4,2,Renewal,2025-02-11,2026-02-11,5009.95,0.1309,1.0,5009.95,0.0,1.0
POL-000041,ACCT-00018,BOP,Contractors,NY,AGY-033,4,3,Renewal,2026-02-11,2027-02-11,5338.61,0.0656,0.3808,2033.06,3305.55,0.3808
POL-000042,ACCT-00019,Professional Liability,Professional Services,IL,AGY-018,2,1,New,2024-04-21,2025-04-21,2550.18,0.0,1.0,2550.18,0.0,1.0
POL-000043,ACCT-00019,Professional Liability,Professional Services,IL,AGY-018,2,2,Renewal,2025-04-21,2026-04-21,2689.42,0.0546,1.0,2689.42,0.0,1.0
POL-000044,ACCT-00020,General Liability,Restaurants & Food Service,OH,AGY-021,3,1,New,2024-12-26,2025-12-26,23428.38,0.0,1.0,23428.38,0.0,1.0
POL-000045,ACCT-00020,General Liability,Restaurants & Food Service,OH,AGY-021,3,2,Renewal,2025-12-26,2026-12-26,25443.08,0.086,0.5096,12965.51,12477.57,0.5096
POL-000046,ACCT-00021,BOP,Restaurants & Food Service,OH,AGY-054,4,1,New,2023-06-17,2024-06-17,3110.3,0.0,1.0,3110.3,0.0,1.0
POL-000047,ACCT-00022,BOP,Restaurants & Food Service,OH,AGY-020,3,1,New,2025-12-01,2026-12-01,3829.2,0.0,0.5781,2213.59,1615.61,0.5781
POL-000048,ACCT-00023,BOP,Restaurants & Food Service,GA,AGY-059,2,1,New,2023-05-14,2024-05-14,3738.47,0.0,1.0,3738.47,0.0,1.0
POL-000049,ACCT-00023,BOP,Restaurants & Food Service,GA,AGY-059,2,2,Renewal,2024-05-14,2025-05-14,3821.88,0.0223,1.0,3821.88,0.0,1.0
POL-000050,ACCT-00023,BOP,Restaurants & Food Service,GA,AGY-059,2,3,Renewal,2025-05-14,2026-05-14,4318.55,0.13,1.0,4318.55,0.0,1.0
POL-000051,ACCT-00024,BOP,Restaurants & Food Service,NC,AGY-005,4,1,New,2024-03-11,2025-03-11,3206.73,0.0,1.0,3206.73,0.0,1.0
POL-000052,ACCT-00024,BOP,Restaurants & Food Service,NC,AGY-005,4,2,Renewal,2025-03-11,2026-03-11,3704.56,0.1552,1.0,3704.56,0.0,1.0
POL-000053,ACCT-00024,BOP,Restaurants & Food Service,NC,AGY-005,4,3,Renewal,2026-03-11,2027-03-11,3827.71,0.0332,0.3041,1164.04,2663.67,0.3041
POL-000054,ACCT-00025,General Liability,Healthcare Services,IL,AGY-044,4,1,New,2023-06-03,2024-06-03,20590.17,0.0,1.0,20590.17,0.0,1.0
POL-000055,ACCT-00025,General Liability,Healthcare Services,IL,AGY-044,4,2,Renewal,2024-06-03,2025-06-03,20462.62,-0.0062,1.0,20462.62,0.0,1.0
POL-000056,ACCT-00025,General Liability,Healthcare Services,IL,AGY-044,4,3,Renewal,2025-06-03,2026-06-03,19586.69,-0.0428,1.0,19586.69,0.0,1.0
POL-000057,ACCT-00025,General Liability,Healthcare Services,IL,AGY-044,4,4,Renewal,2026-06-03,2027-06-03,20838.99,0.0639,0.074,1541.51,19297.48,0.074
POL-000058,ACCT-00026,Professional Liability,Technology,TX,AGY-021,2,1,New,2024-08-04,2025-08-04,3470.88,0.0,1.0,3470.88,0.0,1.0
POL-000059,ACCT-00026,Professional Liability,Technology,TX,AGY-021,2,2,Renewal,2025-08-04,2026-08-04,3861.12,0.1124,0.9041,3490.88,370.24,0.9041
POL-000060,ACCT-00027,Professional Liability,Healthcare Services,TX,AGY-017,4,1,New,2023-09-17,2024-09-17,3997.56,0.0,1.0,3997.56,0.0,1.0
POL-000061,ACCT-00027,Professional Liability,Healthcare Services,TX,AGY-017,4,2,Renewal,2024-09-17,2025-09-17,3896.45,-0.0253,1.0,3896.45,0.0,1.0
POL-000062,ACCT-00027,Professional Liability,Healthcare Services,TX,AGY-017,4,3,Renewal,2025-09-17,2026-09-17,4151.64,0.0655,0.7836,3253.07,898.57,0.7836
POL-000063,ACCT-00028,BOP,Restaurants & Food Service,NC,AGY-036,3,1,New,2023-07-01,2024-07-01,3122.35,0.0,1.0,3122.35,0.0,1.0
POL-000064,ACCT-00028,BOP,Restaurants & Food Service,NC,AGY-036,3,2,Renewal,2024-07-01,2025-07-01,3311.91,0.0607,1.0,3311.91,0.0,1.0
POL-000065,ACCT-00028,BOP,Restaurants & Food Service,NC,AGY-036,3,3,Renewal,2025-07-01,2026-07-01,3606.44,0.0889,0.9973,3596.56,9.88,0.9973
POL-000066,ACCT-00029,General Liability,Technology,CA,AGY-050,2,1,New,2023-12-15,2024-12-15,15412.96,0.0,1.0,15412.96,0.0,1.0
POL-000067,ACCT-00029,General Liability,Technology,CA,AGY-050,2,2,Renewal,2024-12-15,2025-12-15,16399.23,0.064,1.0,16399.23,0.0,1.0
POL-000068,ACCT-00029,General Liability,Technology,CA,AGY-050,2,3,Renewal,2025-12-15,2026-12-15,19906.12,0.2138,0.5397,10743.85,9162.27,0.5397
POL-000069,ACCT-00030,General Liability,Restaurants & Food Service,IL,AGY-001,2,1,New,2024-02-14,2025-02-14,12966.34,0.0,1.0,12966.34,0.0,1.0
POL-000070,ACCT-00030,General Liability,Restaurants & Food Service,IL,AGY-001,2,2,Renewal,2025-02-14,2026-02-14,14143.23,0.0908,1.0,14143.23,0.0,1.0
POL-000071,ACCT-00031,BOP,Real Estate,NC,AGY-015,2,1,New,2025-12-09,2026-12-09,3703.5,0.0,0.5562,2059.75,1643.75,0.5562
POL-000072,ACCT-00032,Professional Liability,Professional Services,NY,AGY-020,1,1,New,2024-07-17,2025-07-17,20050.13,0.0,1.0,20050.13,0.0,1.0
POL-000073,ACCT-00032,Professional Liability,Professional Services,NY,AGY-020,1,2,Renewal,2025-07-17,2026-07-17,21164.74,0.0556,0.9534,20178.98,985.76,0.9534
POL-000074,ACCT-00033,BOP,Retail,CA,AGY-037,3,1,New,2023-09-12,2024-09-12,1755.01,0.0,1.0,1755.01,0.0,1.0
POL-000075,ACCT-00033,BOP,Retail,CA,AGY-037,3,2,Renewal,2024-09-12,2025-09-12,1827.53,0.0413,1.0,1827.53,0.0,1.0
POL-000076,ACCT-00033,BOP,Retail,CA,AGY-037,3,3,Renewal,2025-09-12,2026-09-12,1873.09,0.0249,0.7973,1493.34,379.75,0.7973
POL-000077,ACCT-00034,Professional Liability,Healthcare Services,CA,AGY-028,3,1,New,2024-08-09,2025-08-09,33657.14,0.0,1.0,33657.14,0.0,1.0
POL-000078,ACCT-00034,Professional Liability,Healthcare Services,CA,AGY-028,3,2,Renewal,2025-08-09,2026-08-09,34572.81,0.0272,0.8904,30784.01,3788.8,0.8904
POL-000079,ACCT-00035,BOP,Real Estate,TX,AGY-036,3,1,New,2025-01-31,2026-01-31,4322.17,0.0,1.0,4322.17,0.0,1.0
POL-000080,ACCT-00035,BOP,Real Estate,TX,AGY-036,3,2,Renewal,2026-01-31,2027-01-31,4988.82,0.1542,0.411,2050.2,2938.62,0.411
POL-000081,ACCT-00036,Professional Liability,Professional Services,WA,AGY-011,3,1,New,2025-05-27,2026-05-27,20656.67,0.0,1.0,20656.67,0.0,1.0
POL-000082,ACCT-00036,Professional Liability,Professional Services,WA,AGY-011,3,2,Renewal,2026-05-27,2027-05-27,20329.82,-0.0158,0.0932,1893.74,18436.08,0.0932
POL-000083,ACCT-00037,General Liability,Contractors,NY,AGY-011,4,1,New,2023-07-07,2024-07-07,43946.44,0.0,1.0,43946.44,0.0,1.0
POL-000084,ACCT-00037,General Liability,Contractors,NY,AGY-011,4,2,Renewal,2024-07-07,2025-07-07,48044.98,0.0933,1.0,48044.98,0.0,1.0
POL-000085,ACCT-00038,Professional Liability,Healthcare Services,NY,AGY-009,1,1,New,2025-10-17,2026-10-17,14174.64,0.0,0.7014,9941.67,4232.97,0.7014
POL-000086,ACCT-00039,General Liability,Restaurants & Food Service,OH,AGY-013,3,1,New,2025-01-05,2026-01-05,22816.32,0.0,1.0,22816.32,0.0,1.0
POL-000087,ACCT-00039,General Liability,Restaurants & Food Service,OH,AGY-013,3,2,Renewal,2026-01-05,2027-01-05,24897.64,0.0912,0.4822,12005.44,12892.2,0.4822
POL-000088,ACCT-00040,BOP,Restaurants & Food Service,IL,AGY-006,3,1,New,2025-10-22,2026-10-22,2145.3,0.0,0.6877,1475.26,670.04,0.6877
POL-000089,ACCT-00041,General Liability,Light Manufacturing,OH,AGY-037,3,1,New,2024-06-09,2025-06-09,17010.51,0.0,1.0,17010.51,0.0,1.0
POL-000090,ACCT-00041,General Liability,Light Manufacturing,OH,AGY-037,3,2,Renewal,2025-06-09,2026-06-09,18635.17,0.0955,1.0,18635.17,0.0,1.0
POL-000091,ACCT-00041,General Liability,Light Manufacturing,OH,AGY-037,3,3,Renewal,2026-06-09,2027-06-09,22076.33,0.1847,0.0575,1270.15,20806.18,0.0575
POL-000092,ACCT-00042,BOP,Professional Services,GA,AGY-033,1,1,New,2023-01-14,2024-01-14,9370.58,0.0,1.0,9370.58,0.0,1.0
POL-000093,ACCT-00042,BOP,Professional Services,GA,AGY-033,1,2,Renewal,2024-01-14,2025-01-14,8891.97,-0.0511,1.0,8891.97,0.0,1.0
POL-000094,ACCT-00042,BOP,Professional Services,GA,AGY-033,1,3,Renewal,2025-01-14,2026-01-14,9526.66,0.0714,1.0,9526.66,0.0,1.0
POL-000095,ACCT-00043,Professional Liability,Professional Services,WA,AGY-003,3,1,New,2025-08-21,2026-08-21,4668.25,0.0,0.8575,4003.18,665.07,0.8575
POL-000096,ACCT-00044,Professional Liability,Healthcare Services,GA,AGY-038,3,1,New,2023-04-10,2024-04-10,10806.88,0.0,1.0,10806.88,0.0,1.0
POL-000097,ACCT-00044,Professional Liability,Healthcare Services,GA,AGY-038,3,2,Renewal,2024-04-10,2025-04-10,11176.73,0.0342,1.0,11176.73,0.0,1.0
POL-000098,ACCT-00044,Professional Liability,Healthcare Services,GA,AGY-038,3,3,Renewal,2025-04-10,2026-04-10,12229.93,0.0942,1.0,12229.93,0.0,1.0
POL-000099,ACCT-00045,General Liability,Contractors,IL,AGY-010,2,1,New,2023-02-26,2024-02-26,4850.64,0.0,1.0,4850.64,0.0,1.0
POL-000100,ACCT-00045,General Liability,Contractors,IL,AGY-010,2,2,Renewal,2024-02-26,2025-02-26,4535.27,-0.065,1.0,4535.27,0.0,1.0
POL-000101,ACCT-00045,General Liability,Contractors,IL,AGY-010,2,3,Renewal,2025-02-26,2026-02-26,5079.35,0.12,1.0,5079.35,0.0,1.0
POL-000102,ACCT-00046,Professional Liability,Healthcare Services,OH,AGY-027,3,1,New,2023-02-14,2024-02-14,5109.92,0.0,1.0,5109.92,0.0,1.0
POL-000103,ACCT-00046,Professional Liability,Healthcare Services,OH,AGY-027,3,2,Renewal,2024-02-14,2025-02-14,5083.12,-0.0052,1.0,5083.12,0.0,1.0
POL-000104,ACCT-00046,Professional Liability,Healthcare Services,OH,AGY-027,3,3,Renewal,2025-02-14,2026-02-14,4860.32,-0.0438,1.0,4860.32,0.0,1.0
POL-000105,ACCT-00046,Professional Liability,Healthcare Services,OH,AGY-027,3,4,Renewal,2026-02-14,2027-02-14,4974.63,0.0235,0.3726,1853.56,3121.07,0.3726
POL-000106,ACCT-00047,Professional Liability,Healthcare Services,IL,AGY-005,2,1,New,2024-11-06,2025-11-06,12991.53,0.0,1.0,12991.53,0.0,1.0
POL-000107,ACCT-00047,Professional Liability,Healthcare Services,IL,AGY-005,2,2,Renewal,2025-11-06,2026-11-06,14299.74,0.1007,0.6466,9245.86,5053.88,0.6466
POL-000108,ACCT-00048,BOP,Light Manufacturing,FL,AGY-033,2,1,New,2025-05-09,2026-05-09,5406.9,0.0,1.0,5406.9,0.0,1.0
POL-000109,ACCT-00048,BOP,Light Manufacturing,FL,AGY-033,2,2,Renewal,2026-05-09,2027-05-09,6078.65,0.1242,0.1425,866.0,5212.65,0.1425
POL-000110,ACCT-00049,General Liability,Technology,GA,AGY-027,2,1,New,2025-10-27,2026-10-27,19421.17,0.0,0.674,13089.34,6331.83,0.674
POL-000111,ACCT-00050,General Liability,Contractors,IL,AGY-057,2,1,New,2023-11-01,2024-11-01,41580.09,0.0,1.0,41580.09,0.0,1.0
POL-000112,ACCT-00050,General Liability,Contractors,IL,AGY-057,2,2,Renewal,2024-11-01,2025-11-01,44634.07,0.0734,1.0,44634.07,0.0,1.0
POL-000113,ACCT-00050,General Liability,Contractors,IL,AGY-057,2,3,Renewal,2025-11-01,2026-11-01,45749.83,0.025,0.6603,30207.42,15542.41,0.6603
POL-000114,ACCT-00051,General Liability,Restaurants & Food Service,IL,AGY-018,4,1,New,2024-04-03,2025-04-03,41913.5,0.0,1.0,41913.5,0.0,1.0
POL-000115,ACCT-00051,General Liability,Restaurants & Food Service,IL,AGY-018,4,2,Renewal,2025-04-03,2026-04-03,45931.43,0.0959,1.0,45931.43,0.0,1.0
POL-000116,ACCT-00051,General Liability,Restaurants & Food Service,IL,AGY-018,4,3,Renewal,2026-04-03,2027-04-03,48592.62,0.0579,0.2411,11715.48,36877.14,0.2411
POL-000117,ACCT-00052,BOP,Real Estate,NY,AGY-012,5,1,New,2024-04-17,2025-04-17,4816.76,0.0,1.0,4816.76,0.0,1.0
POL-000118,ACCT-00052,BOP,Real Estate,NY,AGY-012,5,2,Renewal,2025-04-17,2026-04-17,5447.73,0.131,1.0,5447.73,0.0,1.0
POL-000119,ACCT-00053,Professional Liability,Healthcare Services,FL,AGY-017,1,1,New,2025-05-26,2026-05-26,12566.07,0.0,1.0,12566.07,0.0,1.0
POL-000120,ACCT-00053,Professional Liability,Healthcare Services,FL,AGY-017,1,2,Renewal,2026-05-26,2027-05-26,13593.34,0.0817,0.0959,1303.47,12289.87,0.0959
POL-000121,ACCT-00054,Professional Liability,Professional Services,TX,AGY-034,3,1,New,2024-01-02,2025-01-02,5275.7,0.0,1.0,5275.7,0.0,1.0
POL-000122,ACCT-00054,Professional Liability,Professional Services,TX,AGY-034,3,2,Renewal,2025-01-02,2026-01-02,5406.88,0.0249,1.0,5406.88,0.0,1.0
POL-000123,ACCT-00054,Professional Liability,Professional Services,TX,AGY-034,3,3,Renewal,2026-01-02,2027-01-02,5165.17,-0.0447,0.4904,2533.06,2632.11,0.4904
POL-000124,ACCT-00055,BOP,Professional Services,IL,AGY-031,4,1,New,2024-02-04,2025-02-04,3381.77,0.0,1.0,3381.77,0.0,1.0
POL-000125,ACCT-00055,BOP,Professional Services,IL,AGY-031,4,2,Renewal,2025-02-04,2026-02-04,3420.41,0.0114,1.0,3420.41,0.0,1.0
POL-000126,ACCT-00055,BOP,Professional Services,IL,AGY-031,4,3,Renewal,2026-02-04,2027-02-04,3253.98,-0.0487,0.4,1301.59,1952.39,0.4
POL-000127,ACCT-00056,General Liability,Contractors,TX,AGY-046,2,1,New,2024-07-29,2025-07-29,31251.94,0.0,1.0,31251.94,0.0,1.0
POL-000128,ACCT-00057,Professional Liability,Healthcare Services,OH,AGY-049,3,1,New,2025-12-21,2026-12-21,7883.46,0.0,0.5233,4125.32,3758.14,0.5233
POL-000129,ACCT-00058,BOP,Real Estate,FL,AGY-029,1,1,New,2024-05-29,2025-05-29,3933.94,0.0,1.0,3933.94,0.0,1.0
POL-000130,ACCT-00059,BOP,Restaurants & Food Service,TX,AGY-012,1,1,New,2024-06-21,2025-06-21,7219.38,0.0,1.0,7219.38,0.0,1.0
POL-000131,ACCT-00059,BOP,Restaurants & Food Service,TX,AGY-012,1,2,Renewal,2025-06-21,2026-06-21,7030.32,-0.0262,1.0,7030.32,0.0,1.0
POL-000132,ACCT-00059,BOP,Restaurants & Food Service,TX,AGY-012,1,3,Renewal,2026-06-21,2027-06-21,7662.06,0.0899,0.0247,188.93,7473.13,0.0247
POL-000133,ACCT-00060,General Liability,Real Estate,IL,AGY-044,3,1,New,2024-02-06,2025-02-06,22142.18,0.0,1.0,22142.18,0.0,1.0
POL-000134,ACCT-00060,General Liability,Real Estate,IL,AGY-044,3,2,Renewal,2025-02-06,2026-02-06,23877.95,0.0784,1.0,23877.95,0.0,1.0
POL-000135,ACCT-00060,General Liability,Real Estate,IL,AGY-044,3,3,Renewal,2026-02-06,2027-02-06,27868.06,0.1671,0.3945,10994.52,16873.54,0.3945
POL-000136,ACCT-00061,Professional Liability,Healthcare Services,NC,AGY-024,2,1,New,2024-01-09,2025-01-09,4672.42,0.0,1.0,4672.42,0.0,1.0
POL-000137,ACCT-00062,General Liability,Contractors,CA,AGY-019,2,1,New,2023-07-29,2024-07-29,17505.23,0.0,1.0,17505.23,0.0,1.0
POL-000138,ACCT-00062,General Liability,Contractors,CA,AGY-019,2,2,Renewal,2024-07-29,2025-07-29,19015.55,0.0863,1.0,19015.55,0.0,1.0
POL-000139,ACCT-00062,General Liability,Contractors,CA,AGY-019,2,3,Renewal,2025-07-29,2026-07-29,20364.15,0.0709,0.9205,18746.18,1617.97,0.9205
POL-000140,ACCT-00063,General Liability,Healthcare Services,WA,AGY-049,2,1,New,2024-11-10,2025-11-10,42039.89,0.0,1.0,42039.89,0.0,1.0
POL-000141,ACCT-00064,General Liability,Light Manufacturing,OH,AGY-028,4,1,New,2025-08-08,2026-08-08,27824.33,0.0,0.8932,24851.32,2973.01,0.8932
POL-000142,ACCT-00065,General Liability,Healthcare Services,WA,AGY-007,4,1,New,2025-12-15,2026-12-15,20892.27,0.0,0.5397,11276.1,9616.17,0.5397
POL-000143,ACCT-00066,BOP,Restaurants & Food Service,IL,AGY-031,4,1,New,2025-05-01,2026-05-01,2883.91,0.0,1.0,2883.91,0.0,1.0
POL-000144,ACCT-00066,BOP,Restaurants & Food Service,IL,AGY-031,4,2,Renewal,2026-05-01,2027-05-01,2793.08,-0.0315,0.1644,459.14,2333.94,0.1644
POL-000145,ACCT-00067,Professional Liability,Professional Services,NY,AGY-033,3,1,New,2025-05-29,2026-05-29,9978.83,0.0,1.0,9978.83,0.0,1.0
POL-000146,ACCT-00067,Professional Liability,Professional Services,NY,AGY-033,3,2,Renewal,2026-05-29,2027-05-29,9418.66,-0.0561,0.0877,825.75,8592.91,0.0877
POL-000147,ACCT-00068,BOP,Healthcare Services,AZ,AGY-040,1,1,New,2025-04-27,2026-04-27,4004.23,0.0,1.0,4004.23,0.0,1.0
POL-000148,ACCT-00068,BOP,Healthcare Services,AZ,AGY-040,1,2,Renewal,2026-04-27,2027-04-27,4242.47,0.0595,0.1753,743.89,3498.58,0.1753
POL-000149,ACCT-00069,General Liability,Light Manufacturing,IL,AGY-058,3,1,New,2024-07-18,2025-07-18,10936.08,0.0,1.0,10936.08,0.0,1.0
POL-000150,ACCT-00069,General Liability,Light Manufacturing,IL,AGY-058,3,2,Renewal,2025-07-18,2026-07-18,11158.1,0.0203,0.9507,10607.84,550.26,0.9507
POL-000151,ACCT-00070,BOP,Real Estate,CA,AGY-047,1,1,New,2025-07-24,2026-07-24,3840.94,0.0,0.9342,3588.39,252.55,0.9342
POL-000152,ACCT-00071,BOP,Light Manufacturing,TX,AGY-041,1,1,New,2023-04-03,2024-04-03,8006.38,0.0,1.0,8006.38,0.0,1.0
POL-000153,ACCT-00071,BOP,Light Manufacturing,TX,AGY-041,1,2,Renewal,2024-04-03,2025-04-03,9352.74,0.1682,1.0,9352.74,0.0,1.0
POL-000154,ACCT-00071,BOP,Light Manufacturing,TX,AGY-041,1,3,Renewal,2025-04-03,2026-04-03,9584.32,0.0248,1.0,9584.32,0.0,1.0
POL-000155,ACCT-00071,BOP,Light Manufacturing,TX,AGY-041,1,4,Renewal,2026-04-03,2027-04-03,10369.42,0.0819,0.2411,2500.02,7869.4,0.2411
POL-000156,ACCT-00072,General Liability,Professional Services,CA,AGY-030,2,1,New,2025-09-30,2026-09-30,46752.79,0.0,0.7479,34968.53,11784.26,0.7479
POL-000157,ACCT-00073,BOP,Restaurants & Food Service,IL,AGY-019,4,1,New,2024-05-11,2025-05-11,4233.55,0.0,1.0,4233.55,0.0,1.0
POL-000158,ACCT-00073,BOP,Restaurants & Food Service,IL,AGY-019,4,2,Renewal,2025-05-11,2026-05-11,4121.28,-0.0265,1.0,4121.28,0.0,1.0
POL-000159,ACCT-00073,BOP,Restaurants & Food Service,IL,AGY-019,4,3,Renewal,2026-05-11,2027-05-11,4207.23,0.0209,0.137,576.33,3630.9,0.137
POL-000160,ACCT-00074,Professional Liability,Professional Services,CA,AGY-054,1,1,New,2025-09-23,2026-09-23,4493.26,0.0,0.7671,3446.88,1046.38,0.7671
POL-000161,ACCT-00075,General Liability,Contractors,TX,AGY-018,5,1,New,2023-12-20,2024-12-20,24998.07,0.0,1.0,24998.07,0.0,1.0
POL-000162,ACCT-00075,General Liability,Contractors,TX,AGY-018,5,2,Renewal,2024-12-20,2025-12-20,27454.44,0.0983,1.0,27454.44,0.0,1.0
POL-000163,ACCT-00076,General Liability,Retail,WA,AGY-036,2,1,New,2025-01-09,2026-01-09,8460.31,0.0,1.0,8460.31,0.0,1.0
